[2025-09-14 16:27:45,734] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2025-09-14 16:27:46,920 
python train_vqvae.py --data_mode joint3d --load_data_file /data2/wxs/DATASETS/Human3.6M_for_MotionBERT/h36m_sh_conf_cam_source_final.pkl --num_frames 16 --sample_stride 1 --project_dir vqvae_experiment/h36m_j3d_f16s1_cb4096x2048 --not_find_unused_parameters --nb_code 4096 --codebook_dim 2048
2025-09-14 16:28:06,094 Data loaded with 97196 samples and 1559752 frames
2025-09-14 16:28:06,480 Number of trainable parameters: 38.884867 M
2025-09-14 16:28:06,480 Args: Namespace(data_root='./', num_frames=16, batch_size=32, max_epoch=1000000000.0, total_iter=500000, world_size=1, rank=0, save_interval=20000, warm_up_iter=5000, print_iter=200, learning_rate=0.0002, lr_schedule=[300000], gamma=0.05, weight_decay=0.0001, resume_pth='', device='cuda', project_config='', allow_tf32=False, project_dir='vqvae_experiment/h36m_j3d_f16s1_cb4096x2048', seed=6666, commit_ratio=0.5, nb_code=4096, codebook_dim=2048, load_data_file='/data2/wxs/DATASETS/Human3.6M_for_MotionBERT/h36m_sh_conf_cam_source_final.pkl', data_mode='joint3d', not_find_unused_parameters=True, sample_stride=1)
Trainning Epoch:   0%|          | 0/165 [00:00<?, ?it/s]2025-09-14 16:28:16,600 current_lr 0.000008 at iteration 200
2025-09-14 16:28:16,642 Stage: Warm Up | Epoch: 0 | Iter: 200 | Total Loss: 0.083901 | Recon Loss: 0.081454 | Commit Loss: 0.004895 | Perplexity: 619.571019
2025-09-14 16:28:25,368 current_lr 0.000016 at iteration 400
2025-09-14 16:28:25,412 Stage: Warm Up | Epoch: 0 | Iter: 400 | Total Loss: 0.051869 | Recon Loss: 0.044609 | Commit Loss: 0.014520 | Perplexity: 586.999073
2025-09-14 16:28:34,121 current_lr 0.000024 at iteration 600
2025-09-14 16:28:34,164 Stage: Warm Up | Epoch: 0 | Iter: 600 | Total Loss: 0.046512 | Recon Loss: 0.034680 | Commit Loss: 0.023664 | Perplexity: 675.115469
2025-09-14 16:28:42,885 current_lr 0.000032 at iteration 800
2025-09-14 16:28:42,926 Stage: Warm Up | Epoch: 0 | Iter: 800 | Total Loss: 0.043442 | Recon Loss: 0.030128 | Commit Loss: 0.026629 | Perplexity: 783.238233
2025-09-14 16:28:51,666 current_lr 0.000040 at iteration 1000
2025-09-14 16:28:51,711 Stage: Warm Up | Epoch: 0 | Iter: 1000 | Total Loss: 0.041028 | Recon Loss: 0.027400 | Commit Loss: 0.027257 | Perplexity: 818.111630
2025-09-14 16:29:00,422 current_lr 0.000048 at iteration 1200
2025-09-14 16:29:00,468 Stage: Warm Up | Epoch: 0 | Iter: 1200 | Total Loss: 0.039515 | Recon Loss: 0.026737 | Commit Loss: 0.025556 | Perplexity: 827.970729
2025-09-14 16:29:09,205 current_lr 0.000056 at iteration 1400
2025-09-14 16:29:09,246 Stage: Warm Up | Epoch: 0 | Iter: 1400 | Total Loss: 0.035135 | Recon Loss: 0.023625 | Commit Loss: 0.023020 | Perplexity: 828.541120
2025-09-14 16:29:17,993 current_lr 0.000064 at iteration 1600
2025-09-14 16:29:18,036 Stage: Warm Up | Epoch: 0 | Iter: 1600 | Total Loss: 0.031675 | Recon Loss: 0.022077 | Commit Loss: 0.019196 | Perplexity: 829.487930
2025-09-14 16:29:26,757 current_lr 0.000072 at iteration 1800
2025-09-14 16:29:26,800 Stage: Warm Up | Epoch: 0 | Iter: 1800 | Total Loss: 0.028721 | Recon Loss: 0.021083 | Commit Loss: 0.015276 | Perplexity: 835.664200
2025-09-14 16:29:35,533 current_lr 0.000080 at iteration 2000
2025-09-14 16:29:35,576 Stage: Warm Up | Epoch: 0 | Iter: 2000 | Total Loss: 0.025453 | Recon Loss: 0.018781 | Commit Loss: 0.013344 | Perplexity: 846.855702
2025-09-14 16:29:44,317 current_lr 0.000088 at iteration 2200
2025-09-14 16:29:44,360 Stage: Warm Up | Epoch: 0 | Iter: 2200 | Total Loss: 0.023521 | Recon Loss: 0.018193 | Commit Loss: 0.010657 | Perplexity: 852.116725
2025-09-14 16:29:53,078 current_lr 0.000096 at iteration 2400
2025-09-14 16:29:53,124 Stage: Warm Up | Epoch: 0 | Iter: 2400 | Total Loss: 0.021500 | Recon Loss: 0.017104 | Commit Loss: 0.008793 | Perplexity: 854.105653
2025-09-14 16:30:01,873 current_lr 0.000104 at iteration 2600
2025-09-14 16:30:01,914 Stage: Warm Up | Epoch: 0 | Iter: 2600 | Total Loss: 0.020502 | Recon Loss: 0.016973 | Commit Loss: 0.007058 | Perplexity: 854.030261
2025-09-14 16:30:10,642 current_lr 0.000112 at iteration 2800
2025-09-14 16:30:10,688 Stage: Warm Up | Epoch: 0 | Iter: 2800 | Total Loss: 0.018472 | Recon Loss: 0.015532 | Commit Loss: 0.005879 | Perplexity: 868.333223
2025-09-14 16:30:19,427 current_lr 0.000120 at iteration 3000
2025-09-14 16:30:19,473 Stage: Warm Up | Epoch: 0 | Iter: 3000 | Total Loss: 0.017497 | Recon Loss: 0.015138 | Commit Loss: 0.004717 | Perplexity: 871.099747
Trainning Epoch:   1%|          | 1/165 [02:15<6:09:16, 135.10s/it]2025-09-14 16:30:28,621 current_lr 0.000128 at iteration 3200
2025-09-14 16:30:28,664 Stage: Warm Up | Epoch: 1 | Iter: 3200 | Total Loss: 0.016083 | Recon Loss: 0.014159 | Commit Loss: 0.003846 | Perplexity: 880.994776
2025-09-14 16:30:37,390 current_lr 0.000136 at iteration 3400
2025-09-14 16:30:37,432 Stage: Warm Up | Epoch: 1 | Iter: 3400 | Total Loss: 0.015091 | Recon Loss: 0.013516 | Commit Loss: 0.003150 | Perplexity: 890.600195
2025-09-14 16:30:46,142 current_lr 0.000144 at iteration 3600
2025-09-14 16:30:46,185 Stage: Warm Up | Epoch: 1 | Iter: 3600 | Total Loss: 0.014489 | Recon Loss: 0.013163 | Commit Loss: 0.002652 | Perplexity: 893.328589
2025-09-14 16:30:54,884 current_lr 0.000152 at iteration 3800
2025-09-14 16:30:54,926 Stage: Warm Up | Epoch: 1 | Iter: 3800 | Total Loss: 0.014642 | Recon Loss: 0.013516 | Commit Loss: 0.002252 | Perplexity: 894.797068
2025-09-14 16:31:03,626 current_lr 0.000160 at iteration 4000
2025-09-14 16:31:03,672 Stage: Warm Up | Epoch: 1 | Iter: 4000 | Total Loss: 0.012911 | Recon Loss: 0.011904 | Commit Loss: 0.002013 | Perplexity: 900.566972
2025-09-14 16:31:12,350 current_lr 0.000168 at iteration 4200
2025-09-14 16:31:12,397 Stage: Warm Up | Epoch: 1 | Iter: 4200 | Total Loss: 0.013626 | Recon Loss: 0.012768 | Commit Loss: 0.001715 | Perplexity: 898.510626
2025-09-14 16:31:21,111 current_lr 0.000176 at iteration 4400
2025-09-14 16:31:21,153 Stage: Warm Up | Epoch: 1 | Iter: 4400 | Total Loss: 0.012658 | Recon Loss: 0.011849 | Commit Loss: 0.001618 | Perplexity: 911.577798
2025-09-14 16:31:29,846 current_lr 0.000184 at iteration 4600
2025-09-14 16:31:29,893 Stage: Warm Up | Epoch: 1 | Iter: 4600 | Total Loss: 0.012491 | Recon Loss: 0.011774 | Commit Loss: 0.001434 | Perplexity: 909.493225
2025-09-14 16:31:38,592 current_lr 0.000192 at iteration 4800
2025-09-14 16:31:38,634 Stage: Warm Up | Epoch: 1 | Iter: 4800 | Total Loss: 0.012379 | Recon Loss: 0.011727 | Commit Loss: 0.001305 | Perplexity: 911.571731
2025-09-14 16:31:47,330 current_lr 0.000200 at iteration 5000
2025-09-14 16:31:47,372 Stage: Warm Up | Epoch: 1 | Iter: 5000 | Total Loss: 0.011738 | Recon Loss: 0.011141 | Commit Loss: 0.001194 | Perplexity: 917.131824
2025-09-14 16:31:56,118 Stage: Train 0.5 | Epoch: 1 | Iter: 5200 | Total Loss: 0.011783 | Recon Loss: 0.011230 | Commit Loss: 0.001106 | Perplexity: 928.319784
2025-09-14 16:32:04,876 Stage: Train 0.5 | Epoch: 1 | Iter: 5400 | Total Loss: 0.011269 | Recon Loss: 0.010711 | Commit Loss: 0.001116 | Perplexity: 933.533602
2025-09-14 16:32:13,619 Stage: Train 0.5 | Epoch: 1 | Iter: 5600 | Total Loss: 0.010895 | Recon Loss: 0.010383 | Commit Loss: 0.001024 | Perplexity: 940.450820
2025-09-14 16:32:22,347 Stage: Train 0.5 | Epoch: 1 | Iter: 5800 | Total Loss: 0.011690 | Recon Loss: 0.011166 | Commit Loss: 0.001048 | Perplexity: 938.203171
2025-09-14 16:32:31,080 Stage: Train 0.5 | Epoch: 1 | Iter: 6000 | Total Loss: 0.010364 | Recon Loss: 0.009847 | Commit Loss: 0.001033 | Perplexity: 943.145318
Trainning Epoch:   1%|          | 2/165 [04:27<6:03:21, 133.75s/it]2025-09-14 16:32:39,793 Stage: Train 0.5 | Epoch: 2 | Iter: 6200 | Total Loss: 0.010149 | Recon Loss: 0.009586 | Commit Loss: 0.001125 | Perplexity: 938.296489
2025-09-14 16:32:48,538 Stage: Train 0.5 | Epoch: 2 | Iter: 6400 | Total Loss: 0.010134 | Recon Loss: 0.009598 | Commit Loss: 0.001072 | Perplexity: 942.287448
